12        全球变化与海气相互作用21          xx所        某洋南部  GASI-02-IND-STSsum            海测330120160721135901-0800  102   路人甲                   GPS探空仪 CF-06-A
22STC083  120160721140057 073028.62S 1043047.63E  6  241.701-9-9.99 26.092  983.792  79.401   6.052 347.801 
22STC083  120160721140058 073028.91S 1043047.71E  6  246.701-9-9.99 26.052  983.242  79.501   6.062 347.201 
22STC083  120160721140059 073029.12S 1043047.82E  6  251.501-9-9.99 26.012  982.712  79.601   6.062 346.701 
22STC083  120160721140100 073029.27S 1043047.87E  6  256.201-9-9.99 25.962  982.182  79.701   6.062 346.301 
22STC083  120160721140101 073029.45S 1043047.93E  6  260.901-9-9.99 25.922  981.662  79.801   6.072 345.901 
22STC083  120160721140102 073029.66S 1043047.96E  6  265.701-9-9.99 25.872  981.142  79.901   6.092 345.601 
22STC083  120160721140103 073029.95S 1043047.98E  6  270.601-9-9.99 25.832  980.592  80.001   6.132 345.401 
22STC083  120160721140104 073030.24S 1043048.07E  6  275.801-9-9.99 25.782  980.022  80.101   6.172 345.101 
22STC083  120160721140105 073030.49S 1043048.18E  6  281.101-9-9.99 25.732  979.432  80.201   6.232 344.901 
22STC083  120160721140106 073030.64S 1043048.23E  6  286.601-9-9.99 25.682  978.832  80.201   6.272 344.601 
22STC083  120160721140107 073030.78S 1043048.28E  6  292.201-9-9.99 25.622  978.212  80.301   6.302 344.301 
22STC083  120160721140108 073030.89S 1043048.28E  6  298.001-9-9.99 25.572  977.572  80.401   6.332 344.001 
22STC083  120160721140109 073031.10S 1043048.28E  6  303.901-9-9.99 25.522  976.912  80.501   6.362 343.701 
22STC083  120160721140110 073031.32S 1043048.34E  6  310.001-9-9.99 25.462  976.242  80.601   6.392 343.401 
22STC083  120160721140111 073031.57S 1043048.50E  6  316.101-9-9.99 25.402  975.562  80.701   6.422 343.001 
22STC083  120160721140112 073031.75S 1043048.64E  6  322.301-9-9.99 25.342  974.892  80.901   6.462 342.501 
22STC083  120160721140113 073031.93S 1043048.75E  6  328.501-9-9.99 25.292  974.212  81.001   6.492 342.001 
22STC083  120160721140114 073032.15S 1043048.81E  6  334.501-9-9.99 25.232  973.542  81.101   6.532 341.401 
22STC083  120160721140115 073032.44S 1043048.86E  6  340.501-9-9.99 25.182  972.882  81.201   6.572 340.801 
22STC083  120160721140116 073032.72S 1043048.92E  6  346.501-9-9.99 25.122  972.232  81.401   6.612 340.201 
22STC083  120160721140117 073032.98S 1043049.03E  6  352.301-9-9.99 25.072  971.582  81.701   6.672 339.501 
22STC083  120160721140118 073033.19S 1043049.16E  6  358.301-9-9.99 25.012  970.932  82.101   6.732 338.701 
22STC083  120160721140119 073033.34S 1043049.27E  6  364.301-9-9.99 24.962  970.272  82.501   6.792 338.001 
22STC083  120160721140120 073033.48S 1043049.36E  6  370.401-9-9.99 24.892  969.602  82.801   6.862 337.201 
22STC083  120160721140121 073033.62S 1043049.36E  6  376.501-9-9.99 24.832  968.932  83.101   6.932 336.601 
22STC083  120160721140122 073033.88S 1043049.33E  6  382.701-9-9.99 24.772  968.252  83.401   7.012 336.001 
22STC083  120160721140123 073034.16S 1043049.38E  6  388.901-9-9.99 24.712  967.572  83.601   7.112 335.501 
22STC083  120160721140124 073034.49S 1043049.49E  6  395.101-9-9.99 24.652  966.892  83.701   7.202 334.901 
22STC083  120160721140125 073034.78S 1043049.71E  6  401.301-9-9.99 24.602  966.212  83.701   7.302 334.401 
22STC083  120160721140126 073034.99S 1043049.96E  6  407.401-9-9.99 24.562  965.542  83.501   7.402 334.001 
22STC083  120160721140127 073035.14S 1043050.21E  6  413.301-9-9.99 24.532  964.902  83.101   7.492 333.601 
22STC083  120160721140128 073035.24S 1043050.37E  6  418.901-9-9.99 24.512  964.292  82.501   7.592 333.301 
22STC083  120160721140129 073035.35S 1043050.43E  6  424.101-9-9.99 24.502  963.722  82.201   7.692 333.101 
22STC083  120160721140130 073035.57S 1043050.48E  6  429.001-9-9.99 24.472  963.182  82.501   7.792 332.901 
22STC083  120160721140131 073035.86S 1043050.48E  6  433.601-9-9.99 24.412  962.682  83.401   7.892 332.601 
22STC083  120160721140132 073036.14S 1043050.59E  6  438.101-9-9.99 24.342  962.192  84.201   7.992 332.301 
22STC083  120160721140133 073036.40S 1043050.73E  6  442.601-9-9.99 24.272  961.702  84.601   8.082 332.001 
22STC083  120160721140134 073036.65S 1043050.95E  6  447.301-9-9.99 24.222  961.192  84.401   8.172 331.701 
22STC083  120160721140135 073036.86S 1043051.20E  6  452.301-9-9.99 24.202  960.642  83.701   8.252 331.401 
22STC083  120160721140136 073037.08S 1043051.42E  6  457.601-9-9.99 24.212  960.072  82.901   8.342 331.201 
22STC083  120160721140137 073037.33S 1043051.58E  6  463.101-9-9.99 24.242  959.472  82.101   8.442 331.001 
22STC083  120160721140138 073037.62S 1043051.75E  6  468.701-9-9.99 24.262  958.862  81.601   8.542 330.801 
22STC083  120160721140139 073037.91S 1043051.91E  6  474.301-9-9.99 24.262  958.252  81.201   8.642 330.501 
22STC083  120160721140140 073038.23S 1043052.10E  6  479.801-9-9.99 24.252  957.652  81.101   8.742 330.201 
22STC083  120160721140141 073038.48S 1043052.35E  6  485.201-9-9.99 24.232  957.062  80.901   8.852 330.001 
